trend_name	streaks	first_trended
McGangBang	3	2020-06-26
Kanye	3	2020-06-26
Your Daily Reminder	3	2020-07-03
Ennio Morricone	3	2020-07-06
#JusticeforRobertFuller	3	2020-06-12
Vindman	3	2020-07-02
#GhostAdventures	3	2020-07-02
#FluffyFunkoPOP	3	2020-07-02
#MarriageBootCamp	3	2020-07-02
#HTTR	3	2020-07-02
#FreeThemAll	3	2020-07-03
#FortHoodShutDown	3	2020-07-03
#WeLoveYouGaga	3	2020-07-05
Happy 4th	3	2020-07-03
#BakeOffArgentina	3	2020-07-05
SMILE IS COMING	3	2020-07-03
bob morley	3	2020-07-03
#PACMAN_IS_HERE	3	2020-07-05
PS4 code	3	2020-07-02
Fire Force	3	2020-07-03
The Washington	3	2020-07-03
Austin Peay	3	2020-07-03
#cashapptwitch	3	2020-07-03
Rest In Peace Nick	3	2020-07-05
Diaz	3	2020-07-04
#ThingsIWillMissAboutLockdown	3	2020-07-04
James Maxwell Trump	3	2020-07-04
Team Snapchat	3	2020-07-04
Giroud	3	2020-07-04
Kyrie	3	2020-06-12
Frederick Douglass	3	2020-07-04
#WhatAreYouCelebrating	3	2020-07-04
#gusandeddy	3	2020-07-04
Hugh Downs	3	2020-07-02
Mildred	3	2020-06-12
Lizzo	3	2020-06-26
Lingard	3	2020-06-27
Bedminster	3	2020-06-26
Harper	3	2020-07-07
#CapitolHillAutonomousZone	3	2020-06-12
Harris County	3	2020-06-26
TikTok	3	2020-07-07
Funko	3	2020-06-26
#TheBoys	3	2020-06-26
#riptrump	3	2020-06-27
John Wayne	3	2020-06-27
Taliban	3	2020-06-27
#lilhuddyisoverparty	3	2020-07-06
Low Ki	3	2020-06-27
Maguire	3	2020-06-27
Dean Martini	3	2020-06-27
NoHo	3	2020-06-27
Redskins	3	2020-07-02
Halle Berry	3	2020-07-06
Reddick	3	2020-06-14
#NWSLChallengeCup	3	2020-06-27
#Caturday	3	2020-06-27
#AAPITownHall	3	2020-06-27
Game 6 Klay	3	2020-07-06
Patriots	3	2020-06-28
Bapes	3	2020-06-12
No Limit	3	2020-06-28
Trevor Lawrence	3	2020-06-28
Epstein	3	2020-07-02
Junie	3	2020-06-12
#MailedIt	3	2020-07-02
#VanessaGullien	3	2020-07-02
Goya	3	2020-07-10
#YIAYps5	3	2020-06-12
#SheRaMovie	3	2020-06-14
Lana a THOT	3	2020-06-15
#ChadSportsBaseball	3	2020-07-10
Ederson	3	2020-06-17
Kristi	3	2020-06-16
TROLLZ HAIL MARY	3	2020-06-16
#StarTrekUnitedGives	3	2020-06-17
Buffon	3	2020-06-17
#LGBTQstandtogether	3	2020-06-14
#WaterGait	3	2020-06-14
Danny Masterson	3	2020-06-17
#WWEBacklash	3	2020-06-14
#Hooters250	3	2020-06-13
#FamilyHustle	3	2020-06-15
#ExposeBillGates	3	2020-06-13
#TCABVH1	3	2020-06-15
Mookie Betts	3	2020-06-15
#tomatojay	3	2020-06-16
#nascartailgate	3	2020-06-14
Sabres	3	2020-06-16
Xander	3	2020-06-14
Tim Kaine	3	2020-06-16
#NASCARHOF	3	2020-06-16
#BelowDeckMed	3	2020-06-15
LGBTQ	3	2020-06-15
India and China	3	2020-06-16
Thor 4	3	2020-06-14
Gundy	3	2020-06-15
#DodgersZoomParty	3	2020-06-15
#TheBachelorGOAT	3	2020-06-15
Kristen Stewart	3	2020-06-17
#jackask	3	2020-06-16
Megan Fox	3	2020-06-16
Boogaloo	3	2020-06-16
Scientology	3	2020-06-17
#FutureGamesShow	3	2020-06-13
#smilesforchris	3	2020-06-15
Extreme Rules	3	2020-06-14
#Coppaitaliafinal	3	2020-06-17
Miami Lakes	3	2020-06-14
Mary Shelley	2	2020-07-06
jisoo	2	2020-06-15
Adam Silver	2	2020-06-15
Start Dame	2	2020-06-15
DeSean Jackson	2	2020-07-06
Brady	2	2020-06-28
#BountyGate	2	2020-06-27
Ivanka	2	2020-06-26
#90DayFiance	2	2020-06-28
#CODTopPlays	2	2020-06-26
House of Payne	2	2020-06-28
Brixx	2	2020-06-15
Kodak	2	2020-07-06
DJ Khaled	2	2020-06-28
Good for Cam	2	2020-06-28
T.I.	2	2020-07-06
Harden	2	2020-06-26
Margot Robbie	2	2020-06-26
#TrumpIsARacist	2	2020-06-28
michael clifford	2	2020-06-14
#EndTrumpsWarOnAmerica	2	2020-06-12
Trier	2	2020-06-26
Kylie	2	2020-07-07
Obama-era	2	2020-06-12
Bayley	2	2020-07-06
#YIAYroast	2	2020-06-27
#YourCityGaveMeAsthma	2	2020-06-27
#FACup	2	2020-06-27
#mizkifisliveparty	2	2020-07-06
#TitanGames	2	2020-06-15
#BLACKOUTDAY2020	2	2020-07-06
#TheTroubleWithTwitterIs	2	2020-06-26
Woodrow Wilson	2	2020-06-27
#TraitorInChief	2	2020-06-27
#MeanTVShows	2	2020-07-06
MOVIE FOR SHE RA	2	2020-06-27
Arsenal	2	2020-07-07
Imperial County	2	2020-06-26
#AllStarRace	2	2020-06-15
yeezy crocs	2	2020-06-26
#WandaRenuncia	2	2020-07-06
COPD	2	2020-06-27
#BlackatUark	2	2020-06-15
#MCILIV	2	2020-07-02
#90dayfiancetheotherway	2	2020-07-06
Sasha vs Io	2	2020-06-27
#FINLJ23TOP3	2	2020-06-15
OHSAA	2	2020-07-06
Coach K	2	2020-06-26
moonbyul	2	2020-06-27
#TheOldGuard	2	2020-07-10
Bloomington	2	2020-07-06
Kyle Shanahan	2	2020-06-15
#WojBomb	2	2020-07-10
#WynonnaEarp	2	2020-06-26
TOP 50 BEST K-POP RAPPERS	2	2020-06-27
Iso Zo	2	2020-06-26
Canada	2	2020-07-02
The Eyes of Texas	2	2020-06-12
Pulisic	2	2020-07-04
#AllCountriesMatter	2	2020-07-04
#GCWBackyard	2	2020-07-04
bob ross	2	2020-07-04
George Washington Carver	2	2020-06-12
Transform	2	2020-07-05
madelyn	2	2020-06-14
Samanta	2	2020-07-05
#epicradio	2	2020-07-03
#IndyCar	2	2020-07-03
Caroline	2	2020-07-05
#INDYGP	2	2020-07-03
#FunimationCon	2	2020-07-03
#CROWNDay	2	2020-07-03
#AbbottOut	2	2020-07-03
Glizzy Gladiator	2	2020-07-04
Malia Obama	2	2020-07-04
#RHONY	2	2020-07-02
Pablo Sandoval	2	2020-07-04
Target	2	2020-07-05
#BZ42	2	2020-07-04
#ItsOkayToNotBeOkay	2	2020-07-04
#SayGoodbyeDevin	2	2020-07-04
#NoahsArcReunion	2	2020-07-05
#xfinityseries	2	2020-07-04
FEARLESS	2	2020-06-14
#TransPeopleAreRealPeople	2	2020-07-05
Talcum X	2	2020-07-04
Horan	2	2020-07-05
Vekoma	2	2020-07-04
No. You're	2	2020-06-14
Terry	2	2020-07-04
Lorenz	2	2020-07-05
Harvick	2	2020-07-05
Secoriea Turner	2	2020-07-05
HBCU	2	2020-07-03
Ron Perlman	2	2020-06-14
#raisethepercentage	2	2020-06-14
#VoteForOurLives	2	2020-07-02
#BungieDayFashionShow	2	2020-07-02
#RestaurantImpossible	2	2020-07-02
#Moon50thWorldwide	2	2020-07-02
#InvictaFC40	2	2020-07-02
#dylanobrienisoverparty	2	2020-07-02
#BETSundayBest	2	2020-07-05
Seattle City Council	2	2020-07-06
Opportunity	2	2020-06-14
Pulse	2	2020-06-12
Hyper Scape	2	2020-07-02
Washington Warriors	2	2020-07-02
Hamilton	2	2020-07-02
Black National Anthem	2	2020-07-02
Shake Shack	2	2020-06-15
#WhosWhoOfJSU	2	2020-07-05
#Goodies	2	2020-07-05
#OWL2020	2	2020-07-05
#Brickyard400	2	2020-07-05
#TrumpHasNoCredibility	2	2020-07-05
Hooper	2	2020-07-03
#OneYearOfYNTCD	2	2020-06-14
Victor Oladipo	2	2020-07-03
Pacers	2	2020-07-03
Shia	2	2020-07-03
HBO Go	2	2020-06-12
Ronaldo	2	2020-06-12
Mount Rushmore	2	2020-07-03
#BROOKLYNLIBERATION	2	2020-06-14
#campingworld	2	2020-07-03
#RJIsAHeel	2	2020-06-14
Njoku	2	2020-07-03
Navarro	2	2020-07-03
#WearAMask	2	2020-06-26
#PoconoOrganics325	2	2020-06-27
#TrumpIsKillingUs	2	2020-06-24
Morris Chestnut	2	2020-07-08
Fauci	2	2020-06-23
She's a Julie	2	2020-06-13
gragson	2	2020-06-13
#Da5Bloods	2	2020-06-12
Drake	2	2020-07-07
Magic Hat	2	2020-06-16
Rolfe	2	2020-06-17
Warlocks	2	2020-07-08
Juve	2	2020-06-17
#KP5Reveal	2	2020-07-08
Texas Education Agency	2	2020-07-07
#UFCVegas2	2	2020-06-13
#BHALIV	2	2020-07-08
Fernandinho	2	2020-06-25
Zarya	2	2020-06-16
Wharton	2	2020-07-07
Tom Cotton	2	2020-06-25
Chiefs	2	2020-06-18
#jawsathome	2	2020-06-13
David Starr	2	2020-06-17
#HHOF	2	2020-06-24
#AskSinjin	2	2020-06-24
Malcolm Jenkins	2	2020-07-10
#ElijahMcClain	2	2020-06-24
#FridayVibes	2	2020-07-10
Pogba	2	2020-06-24
#schoolsreopening	2	2020-07-08
Drew Carey	2	2020-06-23
Kanye West	2	2020-07-08
#BlackArmyBlockParty	2	2020-06-23
Jokic	2	2020-06-23
Poland	2	2020-06-24
#UltimateMadness	2	2020-06-13
J Prince	2	2020-06-23
Bill Maher	2	2020-06-13
Tom Joyner	2	2020-06-24
#ScoutMysteryBox	2	2020-07-07
Zlatan	2	2020-07-07
Hendo	2	2020-07-08
Trent	2	2020-06-24
bellerin	2	2020-07-07
#WednesdayWisdom	2	2020-06-24
#AskGunnar	2	2020-06-24
Taser	2	2020-06-13
#LGBTQpride	2	2020-06-12
Kendrick Perkins	2	2020-06-17
Kyle Walker	2	2020-06-25
#Cyberpunk2077	2	2020-06-25
Vince Carter	2	2020-06-25
Christian Cooper	2	2020-07-08
Ndombele	2	2020-06-23
TROLLZ TAKEOVER	2	2020-06-17
Hasheem Thabeet	2	2020-06-23
Van Jones	2	2020-06-16
Walt	2	2020-07-08
JJ Watt	2	2020-06-13
The WHO	2	2020-07-07
#IWearAMaskBecause	2	2020-07-08
Riot Fest	2	2020-06-16
#steamsummersale	2	2020-06-25
Jada	2	2020-07-10
#JENNIE	2	2020-06-25
#BarcaLeganes	2	2020-06-16
#COVID__19	2	2020-06-23
#TOTWHU	2	2020-06-23
K Love	2	2020-06-23
#deadlinewh	2	2020-06-25
#parasiteeve	2	2020-06-25
#HappyBirthdayTupac	2	2020-06-16
Kopech	2	2020-07-10
#365daysnetflix	2	2020-06-13
Sterling	2	2020-06-25
Song 33	2	2020-06-18
Black Twitter	2	2020-07-10
Motel 6	2	2020-06-16
Claire McCaskill	2	2020-06-25
#RecallGavin2020	2	2020-06-18
Messi	2	2020-06-13
#HalaMadrid	2	2020-06-18
Boeheim	2	2020-07-07
Beethoven	2	2020-06-18
Big Time Rush	2	2020-06-16
Captain America	2	2020-06-25
#IfDonaldTrumpIsReelected	2	2020-06-16
#TrumpBirthdayGifts	2	2020-06-12
#SMOTHERED	1	2020-07-05
Ralo	1	2020-07-08
Birthday Party	1	2020-07-08
Jill Scott	1	2020-07-10
Mangs	1	2020-07-08
"""Aug"""	1	2020-07-10
Justin Thomas	1	2020-07-11
Manafort	1	2020-07-08
#XMen	1	2020-07-11
#NOS4A2	1	2020-07-05
#Edouard	1	2020-07-05
#IfKanyeWerePresident	1	2020-07-10
#BidenPledgesAllegianceToUS	1	2020-07-11
Hunters	1	2020-07-08
Pac-12	1	2020-07-10
#dreamisoverparty	1	2020-07-11
Noam Chomsky	1	2020-07-07
#wayfairgate	1	2020-07-11
Espanyol	1	2020-07-08
#LearnTheirNames	1	2020-07-08
Elvis	1	2020-07-05
#StaySelcaDay	1	2020-07-08
#BuckleUp225	1	2020-07-11
Entanglement	1	2020-07-10
#venomcontest	1	2020-07-11
Ann Coulter	1	2020-07-10
Dorothea	1	2020-07-05
#DevolverDirect	1	2020-07-11
#AMLOenWashington	1	2020-07-08
August Alsina	1	2020-07-10
Klaus	1	2020-07-05
#OtherThingsToDefund	1	2020-07-08
Keke	1	2020-07-10
#PulteDropsBitcoin	1	2020-07-10
Will Smith	1	2020-07-10
#TheChi	1	2020-07-05
#HandsOffMyBC	1	2020-07-08
elena	1	2020-07-05
#birthcontrol	1	2020-07-08
Patty Mills	1	2020-07-08
Byleth	1	2020-07-05
Lamptey	1	2020-07-08
#KamenRider	1	2020-07-11
Goodyear	1	2020-07-05
JK Rowling	1	2020-07-05
DACA	1	2020-07-10
#OddWaysToCoolOff	1	2020-07-11
Your Eyes Tell	1	2020-07-08
Tyler Herro	1	2020-07-05
#Snowpiercer	1	2020-07-05
#xtrfy	1	2020-07-11
China Virus	1	2020-07-05
Daytona Road Course	1	2020-07-08
Wayfair	1	2020-07-10
#C9WIN	1	2020-07-11
#cancelweei	1	2020-07-08
#Married2MedLA	1	2020-07-05
jungkook	1	2020-07-06
Denmark	1	2020-07-08
Zac Efron	1	2020-07-10
#LoveAndListings	1	2020-07-06
#AbolishICE	1	2020-07-06
#PopSmoke	1	2020-07-06
Michael Lofthouse	1	2020-07-07
#UFC251	1	2020-07-11
#IMayDestroyYou	1	2020-07-06
#caffeinetv	1	2020-07-11
Rip Hamilton	1	2020-07-11
Joe Johnson	1	2020-07-11
#findlovelive	1	2020-07-06
Rafael	1	2020-07-10
Atalanta	1	2020-07-11
Taco Tuesday	1	2020-07-07
John Lewis	1	2020-07-11
Riley Cooper	1	2020-07-07
Rugani	1	2020-07-07
Kushner	1	2020-07-06
Yellow	1	2020-07-06
Ayn Rand	1	2020-07-06
Pusha	1	2020-07-07
Costco	1	2020-07-07
#ProudOfLouis	1	2020-07-11
Boeser	1	2020-07-10
#pipelinewriters	1	2020-07-10
#QUEENOFBROKENHEARTS	1	2020-07-10
Tron 3	1	2020-07-07
Vardy	1	2020-07-07
Leicester	1	2020-07-07
Somalia	1	2020-07-07
Betsy DeVos	1	2020-07-07
#KidsTheseDaysWont	1	2020-07-10
SATs	1	2020-07-07
Bakugan	1	2020-07-10
World Health Organization	1	2020-07-07
#StupidQuestionsForKPop	1	2020-07-07
#SHUCHE	1	2020-07-11
Nets	1	2020-07-07
Seahawks	1	2020-07-07
Tom Hanks	1	2020-07-07
WNBA	1	2020-07-07
#NOMEX	1	2020-07-11
Art Collector	1	2020-07-11
Usman	1	2020-07-11
#SoledadFire	1	2020-07-05
Greenland	1	2020-07-11
LAW AND ORDER	1	2020-07-10
Poor Will	1	2020-07-10
Cudi	1	2020-07-08
Ready Player One	1	2020-07-08
#ripellen	1	2020-07-06
irene	1	2020-07-06
Morphe	1	2020-07-10
#WatchMonsterNOW	1	2020-07-06
Zoom	1	2020-07-06
Halloween Kills	1	2020-07-08
LITTLE MIX NEW SINGLE	1	2020-07-11
CNBC	1	2020-07-08
Baba	1	2020-07-11
Rushing Fall	1	2020-07-11
Penaldo	1	2020-07-11
The Wonder Years	1	2020-07-08
Stephen Jackson	1	2020-07-08
Aroldis Chapman	1	2020-07-11
#PhillyPower	1	2020-07-05
#DreamWithHarry	1	2020-07-08
Penn Station	1	2020-07-06
Ivy League	1	2020-07-08
Middleton	1	2020-07-11
Dwight Howard	1	2020-07-06
Olympia Lightning Bolt	1	2020-07-07
Harper Lee	1	2020-07-06
Matt Ryan	1	2020-07-06
Blake Neff	1	2020-07-10
Toomey	1	2020-07-11
Beverly Cleary	1	2020-07-06
Many Men	1	2020-07-06
#GoodSam	1	2020-07-07
Stanford	1	2020-07-08
#IWantASeason	1	2020-07-07
Ted Cruz	1	2020-07-10
Teal	1	2020-07-06
#MamaSaidThereWouldBe	1	2020-07-07
Iso Joe	1	2020-07-11
Katie Miller	1	2020-07-06
Judy Blume	1	2020-07-06
#ARMYDAY	1	2020-07-08
#No2IRChinaTreaty	1	2020-07-10
Shotzi	1	2020-06-14
During Pride	1	2020-06-12
#NationalMascotDay	1	2020-06-17
Suarez	1	2020-06-23
Jeff Sessions	1	2020-06-13
Andrew Jackson	1	2020-06-23
Victorville	1	2020-06-13
#WhenImShipwrecked	1	2020-06-18
#SpeakingOut	1	2020-06-18
Earl Thomas	1	2020-06-18
Deebo	1	2020-06-18
Ray Hudson	1	2020-06-18
Joe Douglas	1	2020-06-18
Fonz	1	2020-06-13
Pelosi	1	2020-06-18
Cuban	1	2020-06-18
Republican	1	2020-06-18
Cataño	1	2020-06-13
Braithwaite	1	2020-06-13
Chie	1	2020-06-13
Foden	1	2020-06-17
Austin Rivers	1	2020-06-13
Heyman	1	2020-06-17
Danilo	1	2020-06-17
#COYG	1	2020-06-17
China's Xi	1	2020-06-17
Dybala	1	2020-06-17
Ospina	1	2020-06-13
West Ham	1	2020-06-23
Mohammad	1	2020-06-23
Be With You	1	2020-06-23
#freegabbiehanna	1	2020-06-12
#DigitalMirage	1	2020-06-12
Parler	1	2020-06-24
Manish	1	2020-06-24
Sadio	1	2020-06-24
Tory	1	2020-06-24
Kevin Lowe	1	2020-06-24
#IsAJokeInMyTown	1	2020-06-12
Solange	1	2020-06-24
Ahmaud Arbery	1	2020-06-24
#notificationsquad	1	2020-06-12
Geraldo	1	2020-06-24
#TheEquityProject	1	2020-06-23
Cornyn	1	2020-06-23
#AbolitionistTeaching	1	2020-06-23
#MakeASongPastTense	1	2020-06-23
#StupidQuestionsForJohnBolton	1	2020-06-23
#TitleIX	1	2020-06-23
#TrumpIsALaughingStock	1	2020-06-23
Lettuce	1	2020-06-23
Riri	1	2020-06-23
Beasley	1	2020-06-23
Puig	1	2020-06-23
Oaxaca	1	2020-06-23
Gerald Ford	1	2020-06-23
Felony Murder	1	2020-06-17
Belle Delphine	1	2020-06-17
#MilimAXLite	1	2020-07-04
#PCGamingShow	1	2020-06-13
#달이_선택한_단한사람_문태일	1	2020-06-13
#YIAY2020	1	2020-06-15
Lara Trump	1	2020-06-15
Major League Baseball	1	2020-06-15
Larry Warford	1	2020-06-15
Jihoon	1	2020-06-15
Karter	1	2020-06-15
Brandon Brooks	1	2020-06-15
Pat Bev	1	2020-06-14
#IfIEverDisappearJust	1	2020-06-14
#TurnFLAGintoAnAcronym	1	2020-06-14
#HISDAdminChat	1	2020-06-14
#westhollywood	1	2020-06-14
#fearthedeep	1	2020-06-14
#LongGoneSummer	1	2020-06-14
#iguessimspecial	1	2020-06-14
#BayleyDosStraps	1	2020-06-14
#ThingsIdLikeToSeeMore	1	2020-06-14
#HappybirthdayDonaldTrump	1	2020-06-14
TROLLZ TO NUMBER1	1	2020-06-14
#BestPresidentEver	1	2020-06-14
Plymouth Grand National	1	2020-06-14
Miz and Morrison	1	2020-06-14
Birks	1	2020-06-14
Wimpier	1	2020-06-14
#RoswellNM	1	2020-06-15
#jmvtakeover	1	2020-06-13
#NASCARXfinity	1	2020-06-13
Fati	1	2020-06-16
#WhatsNextForChuckECheese	1	2020-06-16
#BoltonBook	1	2020-06-16
#ExecutiveOrder	1	2020-06-16
#TrumpPressConference	1	2020-06-16
#FlipgridForAll	1	2020-06-16
My Chemical Romance	1	2020-06-16
#IGenerallyBelieveIn	1	2020-06-13
Daryl Davis	1	2020-06-16
#selfiesforcode20	1	2020-06-13
Canadian Sink Seal	1	2020-06-16
Franklin Graham	1	2020-06-16
Avery Bradley	1	2020-06-16
#instagramdown	1	2020-06-15
Shams	1	2020-06-16
30 Rock	1	2020-06-16
Greg Abbott	1	2020-06-16
The Federalist	1	2020-06-16
#TLWIN	1	2020-06-13
#WestPointGraduation	1	2020-06-13
#2020WarningLabel	1	2020-06-13
#MichaelJacksonVindicated	1	2020-06-13
#SaturdayVibes	1	2020-06-13
#pocdontwe	1	2020-06-15
#AvilaFire	1	2020-06-15
Start Wade	1	2020-06-24
#BlackTransLivesMatters	1	2020-06-12
#DeSantisFailedFlorida	1	2020-06-24
#MLSisBack	1	2020-06-24
#thursdayvibes	1	2020-07-02
#ThursdayIn4Words	1	2020-07-02
#DoubleShotAtLove	1	2020-07-02
#CouncilofDads	1	2020-07-02
#UnlikelyCalorieBurners	1	2020-07-02
#Blindspot	1	2020-07-02
#Madden21	1	2020-07-02
#CriticalRole	1	2020-07-02
Lucy Hale	1	2020-07-02
Vidor	1	2020-07-02
Phaedra	1	2020-07-02
PlayStation 4	1	2020-07-02
Elphelt	1	2020-06-12
pascal	1	2020-07-02
Dan Snyder	1	2020-07-02
jongin	1	2020-07-02
#ShutDownFH	1	2020-07-02
NEW TATTOOS	1	2020-06-12
President Joe	1	2020-06-28
Marsai	1	2020-06-28
Stone Cold	1	2020-06-28
Rogue Squadron	1	2020-06-12
Bills	1	2020-06-28
Faint	1	2020-06-12
#NationalPineappleDay	1	2020-06-27
#WhatHomeMeansToMe	1	2020-07-02
#KatyKeene	1	2020-07-02
Jill Biden	1	2020-07-03
#babysittersclub	1	2020-07-03
#CHEWAT	1	2020-07-04
Bob Gibbon	1	2020-07-04
Mary Hart	1	2020-07-04
Uncle Chuck	1	2020-07-04
Instilled Regard	1	2020-07-04
Briscoe	1	2020-07-04
kim kibum	1	2020-07-04
#stayblackout	1	2020-07-04
#WaysToRuinAFirstDate	1	2020-07-04
Shaun King	1	2020-07-04
Ramlethal	1	2020-06-12
#BoycottNFL	1	2020-07-03
Braintree	1	2020-07-03
#RedWhiteAndBuds	1	2020-07-03
#BeenSmilingBecause	1	2020-07-03
#Hydroxychloroquine	1	2020-07-03
Beachwood	1	2020-07-03
Herschel	1	2020-07-03
Claudia	1	2020-07-03
Kacey	1	2020-07-03
